"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"552","Que gane hacksaw ridge a mejor película <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5> #Oscars2017. https://t.co/65ySrv9Ywa",FALSE,1,NA,2017-02-27 02:36:31,FALSE,NA,"836042298521702401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Maanuchaaaa",4,FALSE,FALSE,NA,NA
"553","Neta ojala #lalaland no gane a mejor película #Oscars2017",FALSE,1,NA,2017-02-27 02:35:46,FALSE,NA,"836042107689267200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","__Natalie1",1,FALSE,FALSE,NA,NA
"554","#Oscars deseo que #Moana gane el Oscar como Mejor Película Animada",FALSE,0,NA,2017-02-27 02:35:44,FALSE,NA,"836042101104250881",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sariixia",0,FALSE,FALSE,NA,NA
"555","A todos esos que quieren que gane La La Land.... a mejor película se ve que no han visto Moonlight #Oscars2017 #Oscars",FALSE,0,NA,2017-02-27 02:35:29,FALSE,NA,"836042037346492416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alebuca7",0,FALSE,FALSE,NA,NA
"556","#Oscars YO SOLO ESPERO  ""HASTA EL ULTIMO HOMBRE"" GANE A MEJOR PELICULA Y MEJOR ACTOR PORQ LA ACTUACION DE ANDREW Y LA HISTORIA SON PERFECTAS",FALSE,0,NA,2017-02-27 02:35:15,FALSE,NA,"836041980467679232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","malecxsnow",0,FALSE,FALSE,NA,NA
"557","@eugegimb es muy probable que gane cómo mejor película o mejor actores, igualmente creo que otras películas se merecen un Oscars",FALSE,1,"eugegimb",2017-02-27 02:34:55,FALSE,"836040928804683777","836041895310589952","719188014363242498","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CandeListe",0,FALSE,FALSE,NA,NA
"558","RT @MoXbabygirl: Amo @DisneyMoana, ojalá gane a la mejor película animada :D me encanta @auliicravalho, es tan linda y canta hermoso <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #Osc…",FALSE,0,NA,2017-02-27 02:34:43,FALSE,NA,"836041845838860289",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Martincho9422",2,TRUE,FALSE,NA,NA
"559","Quiero que gane #HiddenFigures a mejor película #Oscars2017",FALSE,0,NA,2017-02-27 02:34:29,FALSE,NA,"836041788125229057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LauraJyooliang",0,FALSE,FALSE,NA,NA
"560","que gane como mejor película #LaLaLandMovie  #Oscars",FALSE,0,NA,2017-02-27 02:34:22,FALSE,NA,"836041756865089536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","juliocesarvar19",0,FALSE,FALSE,NA,NA
"561","RT @DayhanaMata: Se merece todo lo que se gane, la mejor película <ed><U+00A0><U+00BC><ed><U+00BE><U+00A5><U+2764> #Oscars #Oscars2017 #teamgosling #LALALAND https://t.co/kFzOC6fGl8",FALSE,0,NA,2017-02-27 02:34:03,FALSE,NA,"836041676623867904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nqnmarisa",70,TRUE,FALSE,NA,NA
"562","La La Land no creo que gane mejor pelicula, pero se merece mejor fotografía. Tiene excelentes planos. #Oscars",FALSE,0,NA,2017-02-27 02:33:15,FALSE,NA,"836041478195535872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Andreina_crb",0,FALSE,FALSE,NA,NA
"563","Yo quiero que gane como mejor película Hasta el último hombre <U+2764> #Oscars",FALSE,0,NA,2017-02-27 02:32:59,FALSE,NA,"836041410302382080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jimm_Luna",0,FALSE,FALSE,NA,NA
"564","Y en Mejor película, mi favorita es Manchester by the sea, pero los musicales calientan demasiado a USA, así q no creo que gane. #Oscars2017",FALSE,1,"meaburroenlaweb",2017-02-27 02:32:54,FALSE,"836040723241791488","836041387904745473","381057103","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meaburroenlaweb",0,FALSE,FALSE,NA,NA
